Категория;Сложность;Вопрос;Варианты_ответов
География;Лёгкий;Столица Франции?;[Париж, Марсель, Лион, Тулуза]
География;Лёгкий;Столица Германии?;[Берлин, Мюнхен, Гамбург, Кёльн]
География;Лёгкий;Столица Японии?;[Токио, Осака, Киото, Саппоро]
География;Лёгкий;Столица Канады?;[Оттава, Торонто, Ванкувер, Монреаль]
География;Лёгкий;Столица Бразилии?;[Бразилиа, Рио‑де‑Жанейро, Сан‑Паулу, Салвадор]
География;Легкий;Столица Испании?;[Мадрид, Барселона, Севилья, Валенсия]
География;Легкий;Столица Италии?;[Рим, Милан, Неаполь, Турин]
География;Легкий;Столица Великобритании?;[Лондон, Манчестер, Бирмингем, Ливерпуль]
География;Легкий;Столица Китая?;[Пекин, Шанхай, Гуанчжоу, Шэньчжэнь]
География;Легкий;Столица Индии?;[Дели, Мумбаи, Калькутта, Бангалор]
География;Лёгкий; Столица Швеции?;[Стокгольм, Осло, Хельсинки, Копенгаген]
География;Лёгкий; Какая река протекает через Париж?;[Сена, Рейн, Луара, Гаронна]
География;Средний; Какое озеро самое глубокое в Африке?;[Танганьика, Виктория, Ньяса, Чад]
География;Средний; В какой стране находится гора Килиманджаро?;[Танзания, Кения, Эфиопия, Уганда]
География;Сложный; Через какие страны проходит река Меконг?;[Китай, Мьянма, Лаос, Вьетнам; Таиланд, Камбоджа, Филиппины, Индонезия; Малайзия, Сингапур, Бруней, Восточный Тимор; Индия, Бангладеш, Непал, Бутан]
География;Сложный; Какой пролив соединяет Средиземное море и Атлантический океан?;[Гибралтарский, Босфор, Дарданеллы, Суэцкий]
География;Средний;На каком материке нет постоянных жителей?;[Антарктида, Австралия, Африка, Южная Америка]
География;Средний;Какое море самое солёное?;[Мёртвое море, Красное море, Средиземное море, Карибское море]
География;Средний;Какой пролив разделяет Европу и Африку?;[Гибралтарский пролив, Босфор, Ла‑Манш, Малаккский пролив]
География;Средний;Самая длинная река в Европе?;[Волга, Дунай, Рейн, Эльба]
География;Средний;Самая высокая гора в Европе?;[Эльбрус, Монблан, Килиманджаро, Эверест]
География;Средний;Самое большое озеро в мире?;[Каспийское море, Байкал, Верхнее, Виктория]
География;Средний;Самое глубокое озеро в мире?;[Байкал, Танганьика, Верхнее, Виктория]
География;Средний;Самый большой материк?;[Евразия, Африка, Северная Америка, Южная Америка]
География;Сложный;Самый маленький материк?;[Австралия, Антарктида, Южная Америка, Африка]
География;Сложный;Как называется самая глубокая впадина на Земле?;[Марианский жёлоб, Жёлоб Пуэрто‑Рико, Зондский жёлоб, Филиппинский жёлоб]
География;Сложный;В какой стране находится самая высокая точка Южной Америки (Аконкагуа)?;[Аргентина, Чили, Перу, Боливия]
География;Сложный;Какое течение является самым мощным в Мировом океане?;[Гольфстрим, Течение Западных Ветров, Куросио, Калифорнийское течение]
География;Сложный;Какая страна имеет наибольшее количество часовых поясов?;[Франция, Россия, США, Великобритания]
География;Сложный;Самый большой архипелаг в мире?;[Индонезия, Филиппины, Япония, Греция]
География;Сложный;Самый длинный тоннель в мире?;[Готард, Ла-Манш, Сёё, Акира]
География;Сложный;Самый большой город по населению?;[Токио, Нью-Йорк, Шанхай, Дели]
География;Сложный;Самая большая пустыня в мире?;[Антарктида, Сахара, Гоби, Атакама]
История;Легкий;Кто был первым царём Руси?;[Игорь, Олег, Рюрик, Святослав]
История;Лёгкий; В каком году произошло падение Берлинской стены?;[1989, 1991, 1985, 1979]
История;Средний; Кто был лидером нацистской Германии?;[Адольф Гитлер, Бенито Муссолини, Иосиф Сталин, Франсиско Франко]
История;Средний; В каком году началась Первая мировая война?;[1914, 1917, 1939, 1941]
История;Сложный; Кто был последним российским императором?;[Николай II, Александр III, Пётр I, Павел I]
История;Сложный; В каком году был подписан Версальский договор?;[1919, 1920, 1918, 1921]
История;Легкий;Кто был первым императором России?;[Пётр I, Иван Грозный, Екатерина II, Николай I]
История;Легкий;В каком году была отмена крепостного права?;[1861, 1855, 1870, 1881]
История;Легкий;Кто был первым царём династии Романовых?;[Михаил Фёдорович, Пётр I, Николай I, Александр I]
История;Легкий;В каком году началась Отечественная война 1812 года?;[1812, 1805, 1814, 1820]
История;Средний;Кто был первым президентом России?;[Борис Ельцин, Владимир Путин, Дмитрий Медведев, Михаил Горбачёв]
История;Средний;В каком году была провозглашена Российская Федерация?;[1991, 1989, 1993, 1985]
История;Средний;Кто был первым космонавтом?;[Юрий Гагарин, Алексей Леонов, Нил Армстронг, Герман Титов]
История;Средний;В каком году началась Гражданская война в России?;[1917, 1918, 1920, 1922]
История;Средний;Кто был первым канцлером Германии?;[Отто фон Бисмарк, Вильгельм II, Гитлер, Шрёдер]
История;Сложный;В каком году была основана Москва?;[1147, 1150, 1200, 1250]
История;Сложный;Кто был первым великим князем Киевской Руси?;[Рюрик, Олег, Игорь, Святослав]
История;Сложный;В каком году было Крещение Руси?;[988, 954, 1054, 1000]
История;Сложный;Кто был первым императором Византии?;[Константин I, Юстиниан I, Феодосий I, Юлиан]
История;Сложный;В каком году пала Византийская империя?;[1453, 1492, 1204, 1380]
Наука;Легкий;Что такое H2O?;[Вода, Кислород, Водород, Углекислый газ]
Наука;Лёгкий; Какой газ необходим для дыхания?;[Кислород, Азот, Углекислый газ, Водород]
Наука;Лёгкий; Как называется процесс превращения жидкости в пар?;[Испарение, Конденсация, Замерзание, Плавление]
Наука;Средний; Какой элемент является основным в органических соединениях?;[Углерод, Кислород, Водород, Азот]
Наука;Средний; Как называется единица измерения электрического сопротивления?;[Ом, Вольт, Ампер, Ватт]
Наука;Сложный; Что такое фотосинтез?;[Процесс преобразования световой энергии в химическую, Процесс расщепления глюкозы, Процесс синтеза белков, Процесс деления клеток]
Наука;Сложный; Как называется процесс распада атомного ядра?;[Радиоактивный распад, Химическая реакция, Окисление, Восстановление]
Наука;Легкий;Сколько планет в Солнечной системе?;[8, 9, 7, 10]
Наука;Легкий;Какой газ преобладает в атмосфере Земли?;[Азот, Кислород, Углекислый газ, Аргон]
Наука;Легкий;Сколько зубов у взрослого человека?;[32, 30, 28, 34]
Наука;Легкий;Что такое лазер?;[Усиление света, Излучение света, Поглощение света, Отражение света]
Наука;Средний;Сколько костей в теле взрослого человека?;[206, 200, 210, 215]
Наука;Средний;Какой орган вырабатывает инсулин?;[Поджелудочная железа, Печень, Почки, Сердце]
Наука;Средний;Сколько пар хромосом у человека?;[23, 46, 22, 24]
Наука;Средний;Что такое гравитация?;[Сила притяжения, Сила отталкивания, Сила трения, Сила инерции]
Наука;Средний;Какой металл самый лёгкий?;[Литий, Алюминий, Магний, Натрий]
Наука;Сложный;Кто открыл радиоактивность?;[Мария Кюри, Альберт Эйнштейн, Нильс Бор, Вернер Гейзенберг]
Наука;Сложный;Что такое чёрная дыра?;[Область с сильной гравитацией, Звезда, Планета, Галактика]
Наука;Сложный;Какая частица не имеет массы?;[Фотон, Электрон, Протон, Нейтрон]
Наука;Сложный;Что такое квант?;[Минимальная порция энергии, Максимальная порция, Средняя порция, Средняя скорость]
Наука;Сложный;Какой закон описывает электромагнитную индукцию?;[Закон Фарадея, Закон Ома, Закон Кирхгофа, Закон Ампера]
Литература;Легкий;Кто написал «Гарри Поттера»?;[Дж. К. Роулинг, Стивен Кинг, Джордж Мартин, Лев Толстой]
